"";"id";"inDate";"forDate";"forTime";"dlFullPath";"rawDirFullPath";"rawFileName";"headlineFileFullPath";"isBentoLink";"isSpiegelPlusLink";"intro";"title";"section";"link"
"1";1;"2017-06-30";2017-06-20;2017-06-20 21:50:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Explosion im Zentralbahnhof:";"Terroranschlag in Brüssel vereitelt - mutmaßlicher Täter erschossen";"Politik";"http://spiegel.de/politik/ausland/bruessel-verdaechtiger-niedergeschossen-terroranschlag-vereitelt-a-1153207.html"
"2";2;"2017-06-30";2017-06-20;2017-06-20 20:47:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Süddeutschland:";"Tempolimit wegen Hitzewelle";"Panorama";"http://spiegel.de/panorama/gesellschaft/wetter-tempolimit-wegen-hitzewelle-unwetter-drohen-a-1153189.html"
"3";3;"2017-06-30";2017-06-20;2017-06-20 19:59:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Waldbrände in Portugal:";"Zivilschutz korrigiert Berichte über abgestürztes Löschflugzeug";"Panorama";"http://spiegel.de/panorama/gesellschaft/portugal-loeschflugzeug-bei-waldbraenden-abgestuerzt-a-1153191.html"
"4";4;"2017-06-30";2017-06-20;2017-06-20 18:56:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Gipfel in Hamburg:";"Polizei richtet G20-Gefängnis ein";"Panorama";"http://spiegel.de/panorama/justiz/g20-gipfel-in-hamburg-gefaengnis-fuer-bis-zu-400-menschen-eingerichtet-a-1153152.html"
"5";5;"2017-06-30";2017-06-20;2017-06-20 18:45:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Moskaus Drohung nach US-Abschuss in Syrien:";"Die Gefahr liegt in der Luft";"Politik";"http://spiegel.de/politik/ausland/syrien-krieg-russland-droht-dem-westen-das-risiko-steigt-a-1153185.html"
"6";6;"2017-06-30";2017-06-20;2017-06-20 18:24:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Cum-Ex-Skandal:";"Die Regierung kaschiert ihr eigenes Versagen";"Wirtschaft";"http://spiegel.de/wirtschaft/soziales/cum-ex-skandal-die-regierung-kaschiert-ihr-eigenes-versagen-a-1153184.html"
"7";7;"2017-06-30";2017-06-20;2017-06-20 18:15:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Kriselnde Fluggesellschaft:";"Air Berlin verzichtet auf Staatsbürgschaften";"Wirtschaft";"http://spiegel.de/wirtschaft/unternehmen/air-berlin-krisen-fluggesellschaft-verzichtet-auf-staatsbuergschaft-a-1153197.html"
"8";8;"2017-06-30";2017-06-20;2017-06-20 17:57:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Bildband über Essensfotos:";"Hammer, dieser Hummer";"Stil";"http://spiegel.de/stil/bildband-visual-feast-faszination-food-fotografie-a-1152166.html"
"9";9;"2017-06-30";2017-06-20;2017-06-20 17:52:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Apple-TV-Serie ""Planet of the Apps"":";"Planet der Casting-Affen";"Netzwelt";"http://spiegel.de/netzwelt/apps/planet-of-the-apps-apples-erste-tv-serie-auf-apple-music-verfuegbar-a-1152844.html"
"10";10;"2017-06-30";2017-06-20;2017-06-20 17:39:00;"data/dl-date-2017-06-30";"data/dl-date-2017-06-30/rawHeadlineFiles";"2017-06-20.html";"data/dl-date-2017-06-30/rawHeadlineFiles/2017-06-20.html";FALSE;FALSE;"Überschall-Flugzeug Boom:";"Dutzende Bestellungen für Concorde-Nachfolger";"Wirtschaft";"http://spiegel.de/wirtschaft/unternehmen/concorde-nachfolger-boom-ueberschalljet-sammelt-76-bestellungen-ein-a-1153164.html"
